id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:journals/ir/ArabzadehVYC22	article	Shallow Pooling for Sparse Labels	Negar Arabzadeh and Alexandra Vtyurina and Xinyi Yan and Charles Clarke	2022	Information Retrieval Journal	25	4	365--385				10.1007/s10791-022-09411-0	https://doi.org/10.1007/s10791-022-09411-0
DBLP:journals/pvldb/PappachanZHM22	article	Don't Be a Tattle-Tale: Preventing Leakages Through Data Dependencies On Access Control Protected Data	Primal Pappachan and Shufan Zhang and Xi He and Sharad Mehrotra	2022	Proceedings of the VLDB Endowment (PVLDB)	15	11	2437--2449					https://www.vldb.org/pvldb/vol15/p2437-pappachan.pdf
DBLP:journals/pvldb/GhayyurGHM22	article	MIDE: Accuracy Aware Minimally Invasive Data Exploration for Decision Support	Sameera Ghayyur and Dhrubajyoti Ghosh and Xi He and Sharad Mehrotra	2022	Proceedings of the VLDB Endowment (PVLDB)	15	11	2653--2665					https://www.vldb.org/pvldb/vol15/p2653-ghayyur.pdf
DBLP:journals/corr/abs-2207-08757	article	Don't Be a Tattle-Tale: Preventing Leakages Through Data Dependencies On Access Control Protected Data	Primal Pappachan and Shufan Zhang and Xi He and Sharad Mehrotra	2022	ArXiv	abs/2207.08757						10.48550/arXiv.2207.08757	https://doi.org/10.48550/arXiv.2207.08757
DBLP:journals/corr/abs-2211-15732	article	Cache Me if You Can: Accuracy-Aware Inference Engine for Differentially Private Data Exploration	Miti Mazmudar and Thomas Humphries and Jiaxiang Liu and Matthew Rafuse and Xi He	2022	ArXiv	abs/2211.15732						10.48550/arXiv.2211.15732	https://doi.org/10.48550/arXiv.2211.15732
DBLP:journals/ftdb/NearH21	article	Differential Privacy for Databases	Joseph P. Near and Xi He	2021	Foundations and Trends in Databases	11	2	109--225				10.1561/1900000066	https://doi.org/10.1561/1900000066
DBLP:journals/corr/abs-2211-00734	article	On the Interaction Between Differential Privacy and Gradient Compression In Deep Learning	Jimmy Lin	2022	ArXiv	abs/2211.00734						10.48550/arXiv.2211.00734	https://doi.org/10.48550/arXiv.2211.00734
DBLP:journals/corr/abs-2211-10411	article	CITADEL: Conditional Token Interaction via Dynamic Lexical Routing For Efficient and Effective Multi-Vector Retrieval	Minghan Li and Sheng-Chieh Lin and Barlas Oguz and Asish Ghoshal and Jimmy Lin and Yashar Mehdad and Wen-tau Yih and Xilun Chen	2022	ArXiv	abs/2211.10411						10.48550/arXiv.2211.10411	https://doi.org/10.48550/arXiv.2211.10411
DBLP:journals/corr/abs-2211-11740	article	SpeechNet: Weakly Supervised, End-to-End Speech Recognition at Industrial Scale	Raphael Tang and Karun Kumar and Gefei Yang and Akshat Pandey and Yajie Mao and Vladislav Belyaev and Madhuri Emmadi and G. Craig Murray and Ferhan Ture and Jimmy Lin	2022	ArXiv	abs/2211.11740						10.48550/arXiv.2211.11740	https://doi.org/10.48550/arXiv.2211.11740
DBLP:conf/ausai/BorgidaFTW22	inproceedings	Understanding Document Data Sources Using Ontologies With Referring Expressions	Alexander Borgida and Enrico Franconi and David Toman and Grant Weddell	2022					Australian Joint Conference on Artificial Intelligence (AUS-AI)			10.1007/978-3-031-22695-3_26	https://doi.org/10.1007/978-3-031-22695-3_26
DBLP:conf/dlog/BorgidaFTW22	inproceedings	Accessing Document Data Sources Using Referring Expression Types	Alexander Borgida and Enrico Franconi and David Toman and Grant Weddell	2022					International Workshop on Description Logics (DL)				http://ceur-ws.org/Vol-3263/paper-6.pdf
DBLP:conf/ruleml/Feng0W22	inproceedings	Magic Sets in Interpolation-Based Rule Driven Query Optimization	Eva Feng and David Toman and Grant Weddell	2022					International Web Rule Symposium (RuleML)			10.1007/978-3-031-21541-4_13	https://doi.org/10.1007/978-3-031-21541-4_13
