id	btype	title	author	year	journal	volume	number	pages	booktitle	publisher	school	doi	url
DBLP:conf/emnlp/BayatQHSBKWI023	inproceedings	FLEEK: Factual Error Detection and Correction With Evidence Retrieved From External Knowledge	Farima Fatahi Bayat and Kun Qian and Benjamin Han and Yisi Sang and Anton Belyi and Samira Khorshidi and Fei Wu and Ihab Ilyas and Yunyao Li	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.emnlp-demo.10
DBLP:conf/emnlp/ConiaLLMI023	inproceedings	Increasing Coverage and Precision of Textual Information in Multilingual Knowledge Graphs	Simone Conia and Min Li and Daniel Lee and Umar Farooq Minhas and Ihab Ilyas and Yunyao Li	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.emnlp-main.100
DBLP:conf/emnlp/AkikiOPZOLP23	inproceedings	Spacerini: Plug-and-Play Search Engines With Pyserini and Hugging Face	Christopher Akiki and Odunayo Ogundepo and Aleksandra Piktus and Xinyu Zhang and Akintunde Oladipo and Jimmy Lin and Martin Potthast	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.emnlp-demo.12
DBLP:conf/emnlp/OladipoAAOOAL23	inproceedings	Better Quality Pre-Training Data and T5 Models for African Languages	Akintunde Oladipo and Mofetoluwa Adeyemi and Orevaoghene Ahia and Abraham Toluwase Owodunni and Odunayo Ogundepo and David Ifeoluwa Adelani and Jimmy Lin	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.emnlp-main.11
DBLP:conf/emnlp/Pradeep0GLZLM023	inproceedings	How Does Generative Retrieval Scale to Millions of Passages?	Ronak Pradeep and Kai Hui and Jai Gupta and Ádám D. Lelkes and Honglei Zhuang and Jimmy Lin and Donald Metzler and Vinh Q. Tran	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.emnlp-main.83
DBLP:conf/emnlp/LinALOLMY023	inproceedings	How to Train Your Dragon: Diverse Augmentation Towards Generalizable Dense Retrieval	Sheng-Chieh Lin and Akari Asai and Minghan Li and Barlas Oguz and Jimmy Lin and Yashar Mehdad and Wen-tau Yih and Xilun Chen	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.findings-emnlp.423
DBLP:conf/emnlp/LinAL23	inproceedings	mAggretriever: A Simple Yet Effective Approach to Zero-Shot Multilingual Dense Retrieval	Sheng-Chieh Lin and Amin Ahmad and Jimmy Lin	2023					Conference on Empirical Methods in Natural Language Processing (EMNLP)				https://aclanthology.org/2023.emnlp-main.715
DBLP:journals/corr/abs-2312-01556	article	Searching Dense Representations With Inverted Indexes	Jimmy Lin and Tommaso Teofili	2023	ArXiv	abs/2312.01556						10.48550/ARXIV.2312.01556	https://doi.org/10.48550/arXiv.2312.01556
DBLP:journals/corr/abs-2312-02724	article	RankZephyr: Effective and Robust Zero-Shot Listwise Reranking Is A Breeze!	Ronak Pradeep and Sahel Sharifymoghaddam and Jimmy Lin	2023	ArXiv	abs/2312.02724						10.48550/ARXIV.2312.02724	https://doi.org/10.48550/arXiv.2312.02724
DBLP:journals/corr/abs-2312-02969	article	Rank-Without-Gpt: Building GPT-Independent Listwise Rerankers on Open-Source Large Language Models	Xinyu Zhang and Sebastian Hofstätter and Patrick Lewis and Raphael Tang and Jimmy Lin	2023	ArXiv	abs/2312.02969						10.48550/ARXIV.2312.02969	https://doi.org/10.48550/arXiv.2312.02969
