=/=Ouml=zsu:M=_Tamer,2000,
a/Ammar:Khaled,,
b/Baruah:Gaurav,,
b/Bislimovska:Bojana,2015,
c/Chan:Edward_P=_F=,,
c/Chu:Xu,,2017
c/Clarke:Charles_L=_A=,1999,
c/Cormack:Gordon_V=,1983,
c/Crane:Matt,2016,
d/Daudjee:Khuzaima,,
e/El=Roby:Ahmed,,2018
f/Farid:Mina_H=,,
g/Gebaly:Kareem_El,,2018
g/Ghenai:Amira,,
g/Ghodsnia:Pedram,,2018
g/Golab:Lukasz,,
g/Grossman:Maura_R=,,
i/Ilyas:Ihab_F=,2004,
j/Jin:Shichao,,
k/Kankanamge:Chathura,,
k/Karyakin:Alexey,,
k/Kassaie:Besat,,
k/Kim:Jaemyung,,
k/Korkmaz:Mustafa,,
l/Lin:Jimmy,,
m/Meng:Xiao,,
m/Mhedhbi:Amine,,
m/Mior:Michael_J=,2013,2018
m/Mohammed:Salman,,
p/Pacaci:Anil,,
s/Sabri:Mohamed_M=,,
s/Sahu:Siddhartha,,
s/Salem:Kenneth,1994,
s/Salihoglu:Semih,2016,
s/Sarrafzadeh:Bahareh,,
s/Saxena:Hemant,,
s/Sequiera:Royal,,
s/Smucker:Mark_D=,2008,
t/Tan:Luchen,,
t/Toman:David,,
t/Tompa:Frank_Wm=,1974,
v/Vtyurina:Alexandra,,
w/Weddell:Grant_E=,,
z/Zhang:Haotian,,
